Lines,Description
1000,"Act. Unob Bal: Brought forward, October 1"
1010,Actual - Unob Bal: Transferred to other accounts
1011,Actual - Unob Bal: Transferred from other accounts
1012,Actual - Expired unobligated balance transferred to unexpired accounts
1013,Unob Bal: Contract authority transferred
1020,"Actual - Unob Bal: Adj to SOY bal brought forward, Oct 1"
1021,Actual - Mandatory Unob Bal: Recov of prior year unpaid obligations
1022,BA: Mand: PY Spending auth: Cap trans to general fund
1023,Actual repayment of debt
1024,Unob Bal: Borrowing authority withdrawn
1025,Uno Bal: Contract authority withdrawn
1026,Unob Bal: Adj for change in allocation\valuation
1027,Unob Bal: Change in zero coupon bonds(spec/trust)
1028,Unob Bal: Change in zero coupon bonds (revolving)
1029,Other balances withdrawn to Treasury (-)
1030,Unob Bal: Other balances withdrawn to spec/trust
1031,BA: Disc: Other balances not available
1032,Unob Bal: Refunds/recov temp precl ob (spec/trust)
1033,Actual - Recov of prior year paid obligations
1035,Unob Bal: Precl from obl (spec/trust) (limitation)
1036,Unob Bal: Adjustment for debt forgiveness
1037,Unob Bal: Appropriations withdrawn
1039,Offset to adjustment for Change in allocation of Trust Fund limitation - General Fund Account
1040,Adjustment to prior year indefinite appropriations in subsequent fiscal year
1041,Actual - Unob Bal: Antic recov of prior year unpd/pd obl
1042,Unob Bal: Adj for change in allocation (gf port)
1043,Unob Bal: Adj for change in allocation (oc/c port)
1044,Unob Bal: Adj for change in allocation (oc/r port)
1045,Unob Bal: Adj for change in allocation (tf port)
1046,Unob Bal: Adj for change in net principal
1047,Unob Bal: Withdrawal for existing unpaid obls
1060,Antic nonexpend trans of unob bals net: Energy Efficiency & Renewable Energy SBIR/STTR
1061,Ancipated recoveries of prior year paid obligations
1062,Unob Bal: Antic Cap trans and redemption
1063,Unob Bal: Antic adj for change in alloc (gf port)
1064,Unob Bal: Antic adj for change in alloc (gf port) (HMTF FY20)
1065,Unob Bal: Antic adj for change in alloc (tf port)
1066,Unob Bal: Antic precl fr obl (spec/tr)(limitation)
1067,Unob Bal: Antic adj for change in net principal
1068,Unob Bal: Antic unob bal of contract auth wthdrwn
